šifra,naziv,grupa,kolicina,nabavna_cijena,marza,cijena,rabat
5994,SAMSUNG GT-E1200,MOBITELI,1,279.20,124.35,249.00,68.20
5995,TRAXDATA CD-R CAKE 50/1,AUDIOVIDEO PROGRAM,6,60.40,74.83,99.00,25.00
5996,TRAXDATA DVD-R CAKE 50/1,AUDIOVIDEO PROGRAM,1,78.80,47.55,109.00,25.00
5997,CD-R MEDIJ 100/1,AUDIOVIDEO PROGRAM,0,0.00,0.00,159.00,0.00
5998,ALPINE SPS-M600W ZVUČNICI,AUDIOVIDEO PROGRAM,1,719.20,53.85,899.00,35.00
5999,ASUS VGA GEFORCE 210 1GD3L,PC,2,224.40,44.68,349.00,14.00
6000,TRANSCEND CARD READER P8A PLAVI,PC,1,71.16,61.24,109.00,24.00
6001,IPHONE 3G DRŽAČ,MOBITELI,0,51.75,0.00,99.00,0.00
6002,ADATA UV100 8GB RED,PC,1,44.52,63.12,69.00,24.00
6003,IPHONE ZAŠTITNA FOLIJA,MOBITELI,0,0.00,0.00,19.00,0.00
6004,ADATA UV100 16GB BLUE,PC,1,67.03,71.18,109.00,24.00
6005,ADATA UV100 16GB RED,PC,1,67.03,71.18,109.00,24.00
6006,IPHONE 4 S 16 GB BLACK,MOBITELI,1,1679.20,150.12,2499.00,52.40
6007,ZED F KONEKTOR 6KOM,AUDIOVIDEO PROGRAM,10,5.20,140.00,12.00,23.00
6008,FALCOM TWIN LNB,AUDIOVIDEO PROGRAM,3,65.00,138.16,149.00,23.00
6009,FALCOM QUAD LNB,AUDIOVIDEO PROGRAM,4,110.00,135.18,249.00,23.00
6010,FALCOM DISEQ4/1+TERR.,AUDIOVIDEO PROGRAM,20,79.90,93.76,149.00,23.00
6011,ZED UAT 8A MREŽASTA ANT.S POJAČALOM,AUDIOVIDEO PROGRAM,2,99.00,56.37,149.00,23.00
6012,SYNAPS AAD-240 POJAČALO,AUDIOVIDEO PROGRAM,2,32.00,91.56,59.00,23.00
6013,FALCOM SOBNA ANTENA ANT-204,AUDIOVIDEO PROGRAM,3,69.00,79.18,119.00,23.00
